,,label,message
train,0,0,kesho nafanya mahafali yangu
train,1,1,Usisahau kutuma ilehela kwa namba hii  ya tigo 0715480789
train,2,0,usiku mwema rafiki yangu
train,3,1,Ile  hela nitumie kwa namba yangu mpya hii 0712 123 234 Ambwene Nyota
train,4,0,leo nimekumbuka kukutafuta
train,5,1,Ile hela tuma kwa namba hii 0712 200 300 Ally Juma
train,6,0,Repoti utatuma lini ?
train,7,1,Tuma kwa namba hii ya tigo 0712 452 24 Kassim Athuman
train,8,0,Usisahau unahitajika ofisini
train,9,1,Sasa nitumie ile hela kwa namba 0755 211 879 mimi ni Amina Hasani
train,10,0,Naomba unitumie kile kitabu cha mwalimu
train,11,1,Nimebadilisha namba tuma kwa namba hii mpya 0712 345   234
train,12,0,Leo utaenda wapi kijana
train,13,1,Nyumbani kuna dharura fanya haraka kutuma kwa namba hii 0718 299 24
train,14,0,Kuna mtu kaniazima chaji mpaka badae
train,15,1,Jana ulikosea kutuma hela fanya haraka kutuma kwa hii ya voda 065123098
train,16,0,Nitachelewa kuludi
train,17,1,Jana ulikosea kutuma hela fanya haraka kutuma kwa hii ya voda 0718200897
train,18,0,Nishikie siti ya mbele ya mwalimu
train,19,1,Tuna shida ya ada ya mdogo wako tuma kwa namba hii 0718 234 567 Haruna  Magoli
train,20,0,Usinunue maji nimeshanunua
train,21,1,Tuna shida ya muhimu sana huku nyumbani tuma kupitia namba hii 0712 353 098
train,22,0,Mwalimu anachukua mahudhurio darasani
train,23,1,Mdogo wako anahitaji hela ya matumizi shuleni tuma kwa namba hii 0712 345 876
train,24,0,Malimu ameshaingia darasani
train,25,1,Dada yako anahitaji hela kwa ajili ya mtoto wake umtumie kwa namba hii 0718 678 45
train,26,0,Nikipanda gari za kimara nishuke wapi
train,27,1,Mama yako anahitaji hela tuma kwa namba hii 075532124 Charles Nzota
train,28,0,uko wapi kijana ?
train,29,1,Kuna hela inahitajika nyumbani kwa ajili ya ujenzi tuma kwa namba hii 0767200231
train,30,0,Nimeshakutumia ratiba utanamia kama hujaiona 
train,31,1,Usisahau kutuma nyumbani hela ya ujenzi kwa namba hii 0712 345 234
train,32,0,Njoo kwenye vimbweta si tulikubaliana 
train,33,1,Ile hela ya mchango wa harusi tuma kwa namba hii ya kiongozi 078612312
train,34,0,Tafadhari nipigie
train,35,1,Mdogo wako anahitaji hela ya matumizi chuoni  tuma kwa namba hii 0712 345 200
train,36,0,Samahani nani wewe
train,37,1,Usisahau kutuma hela kwa namba hii 072 345 786 usajili ni Jacob Nziku
train,38,0,Kwani amekwambia ni kiasi gani?
train,39,1,Nimeishiwa hela kabisa ya matumizi nitumie kwa namba hii 0718  200 24
train,40,0,Mambo vip kijana
train,41,1,Simu yangu imepotea ile hela tuma kwa namba yangu mpya 067 299 212 ALLY ALLY
train,42,0,We si uko na mafundi shida nini mzee
train,43,0,Dada yako anahitaji hela kwa ajili ya safari mtumie yake   hii 0718 000 678
train,44,1,Angalia majina ya wenzako kwenye group
train,45,0,Kuna dharura huku nyumbani fanya haraka utume kwa namba hii 078 234 098
train,46,1,Ila swali lazima lina majibu maana jamaa ametupa hadi kitabu chake
train,47,0,Ile hela usisahau kutuma kwa namba hii namba ya usajili ni 0721 234 345
train,48,0,Mie simesahau kubeba chaji yako
train,49,1,Mdogo wako anahitaji hela ya tutition tuma kwa namba hii 067 789 234
train,50,0,Bado swali lenyewe sina nawasubili wadau wafike
train,51,1,Hela inahitajika nyumbani kuna mgonjwa 
train,52,0,Umeanza kufanya kazi ya mwalimu
